date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:24	34773/34773	---M--	200	added ('OK')	image/jpeg	etag:%2287d5-560210c9c1f55%22	http://qbgrow.com/magen/iot-admin/img/img8.jpg	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/img/img8.jpg	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:25	18655/18655	---M--	200	added ('OK')	image/jpeg	etag:%2248df-560210c836711%22	http://qbgrow.com/magen/iot-admin/img/img9.jpg	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/img/img9.jpg	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:28	22122/22122	---M--	200	added ('OK')	image/jpeg	etag:%22566a-560210ca16ebd%22	http://qbgrow.com/magen/iot-admin/img/img5.jpg	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/img/img5.jpg	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:32	56526/56526	---M--	200	added ('OK')	image/jpeg	etag:%22dcce-560210dab6e03%22	http://qbgrow.com/magen/iot-admin/img/img10.jpg	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/img/img10.jpg	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:47	135775/135775	---M--	200	added ('OK')	image/jpeg	etag:%222125f-560210d70396c%22	http://qbgrow.com/magen/iot-admin/img/img1.jpg	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/img/img1.jpg	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:49	125757/125757	---M--	200	added ('OK')	image/jpeg	etag:%221eb3d-560210d6e4569%22	http://qbgrow.com/magen/iot-admin/img/img2.jpg	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/img/img2.jpg	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:49	91555/91555	---M--	200	added ('OK')	image/jpeg	etag:%22165a3-560210cd53109%22	http://qbgrow.com/magen/iot-admin/img/img4.jpg	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/img/img4.jpg	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:49	150735/150735	---M--	200	added ('OK')	image/jpeg	etag:%2224ccf-560210d1cc991%22	http://qbgrow.com/magen/iot-admin/img/img3.jpg	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/img/img3.jpg	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:08:50	21/21	---M--	403	error ('Forbidden')	text/plain	date:Mon,%2026%20Nov%202018%2014:09:14%20GMT	https://scontent.fdxb1-1.fna.fbcdn.net/v/t31.0-8/19238218_1901779180090186_1774631387012709393_o.jpg?_nc_cat=0&oh=32d032958d602955490d875c7ce46ffd&oe=5B5B0B53	C:/My%20Web%20Sites/Iot/scontent.fdxb1-1.fna.fbcdn.net/v/t31.0-8/19238218_1901779180090186_1774631387012709393_o.339827.delayed	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:09:00	45611/45611	---M--	200	added ('OK')	application/javascript	etag:%22b22b-5602123107b30%22	http://qbgrow.com/magen/iot-admin/lib/perfect-scrollbar/js/perfect-scrollbar.jquery.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/perfect-scrollbar/js/perfect-scrollbar.jquery.js	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:09:02	81224/81224	---M--	200	added ('OK')	application/javascript	etag:%2213d48-560210ee11169%22	http://qbgrow.com/magen/iot-admin/lib/popper.js/popper.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/popper.js/popper.js	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:09:10	111390/111390	---M--	200	added ('OK')	application/javascript	etag:%221b31e-560210faa1f4f%22	http://qbgrow.com/magen/iot-admin/lib/bootstrap/bootstrap.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/bootstrap/bootstrap.js	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:09:21	130279/130279	---M--	200	added ('OK')	application/javascript	etag:%221fce7-56021106c860d%22	http://qbgrow.com/magen/iot-admin/lib/moment/moment.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/moment/moment.js	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:09:23	247597/247597	---M--	200	added ('OK')	application/javascript	etag:%223c72d-560211785f278%22	http://qbgrow.com/magen/iot-admin/lib/jquery/jquery.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/jquery/jquery.js	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:09:23	80691/80691	---M--	200	added ('OK')	application/javascript	etag:%2213b33-5602110c61070%22	http://qbgrow.com/magen/iot-admin/lib/rickshaw/rickshaw.min.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/lib/rickshaw/rickshaw.min.js	(from http://qbgrow.com/magen/iot-admin/app/index.html)
14:09:24	1513/1513	---M--	200	added ('OK')	application/javascript	etag:%225e9-560210e457c64%22	http://qbgrow.com/magen/iot-admin/js/magen-iot-admin.js	C:/My%20Web%20Sites/Iot/qbgrow.com/magen/iot-admin/js/magen-iot-admin.js	(from http://qbgrow.com/magen/iot-admin/app/index.html)
