date,reading
Mon Feb 25 16:18:28 2019	,26.88
Mon Feb 25 16:20:28 2019	,26.88
Mon Feb 25 16:22:29 2019	,26.88
Mon Feb 25 16:24:29 2019	,26.88
Mon Feb 25 16:26:29 2019	,26.88
Tue Feb 26 18:28:48 2019	,26.88
Tue Feb 26 18:30:49 2019	,26.88
Tue Feb 26 18:32:20 2019	,26.88
Tue Feb 26 18:35:20 2019	,26.88
Tue Feb 26 18:38:21 2019	,26.88
Tue Feb 26 18:41:21 2019	,26.88
Tue Feb 26 18:44:21 2019	,26.88
Tue Feb 26 18:47:22 2019	,26.88
Tue Feb 26 18:50:22 2019	,26.88
Tue Feb 26 18:53:22 2019	,26.88
Tue Feb 26 18:56:23 2019	,26.88
Tue Feb 26 18:59:23 2019	,26.88
Tue Feb 26 19:02:23 2019	,26.19
Tue Feb 26 19:05:24 2019	,26.19
Tue Feb 26 19:08:24 2019	,26.19
Tue Feb 26 19:11:25 2019	,26.19
Tue Feb 26 19:14:25 2019	,26.19
Tue Feb 26 19:17:25 2019	,26.19
Tue Feb 26 19:20:26 2019	,26.19
Tue Feb 26 19:23:26 2019	,26.19
Tue Feb 26 19:26:26 2019	,26.19
Tue Feb 26 19:29:27 2019	,26.19
Tue Feb 26 19:32:27 2019	,26.19
Tue Feb 26 19:35:27 2019	,26.88
Tue Feb 26 19:38:28 2019	,26.88
Tue Feb 26 19:41:28 2019	,26.88
Tue Feb 26 19:44:29 2019	,26.88
Tue Feb 26 19:47:29 2019	,26.88
Tue Feb 26 19:50:29 2019	,26.88
Tue Feb 26 19:53:30 2019	,26.88
Tue Feb 26 19:56:30 2019	,26.88
Tue Feb 26 19:59:30 2019	,26.88
Tue Feb 26 20:02:31 2019	,26.88
Tue Feb 26 20:05:31 2019	,26.88
Tue Feb 26 20:08:31 2019	,26.88
Tue Feb 26 20:11:32 2019	,26.88
Tue Feb 26 20:14:32 2019	,26.88
Tue Feb 26 20:17:32 2019	,27.57
Tue Feb 26 20:20:33 2019	,27.57
Tue Feb 26 20:23:33 2019	,27.57
Tue Feb 26 20:26:34 2019	,27.57
Tue Feb 26 20:29:34 2019	,27.57
Tue Feb 26 20:32:34 2019	,27.57
Tue Feb 26 20:35:35 2019	,27.57
Tue Feb 26 20:38:35 2019	,27.57
Tue Feb 26 20:41:35 2019	,27.57
